ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2018,1,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Estafa,6
2018,1,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Extorsión,3
2018,1,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Hurto,192
2018,1,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Otros,380
2018,1,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Robo,156
2018,1,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Violencia contra la mujer e integrantes,264
2018,2,LIMA METROPOLITANA,LIMA,ANCON,150102,Hurto,11
2018,2,LIMA METROPOLITANA,LIMA,ANCON,150102,Otros,35
2018,2,LIMA METROPOLITANA,LIMA,ANCON,150102,Robo,9
2018,2,LIMA METROPOLITANA,LIMA,ANCON,150102,Violencia contra la mujer e integrantes,62
2018,2,LIMA METROPOLITANA,LIMA,ATE,150103,Estafa,11
2018,2,LIMA METROPOLITANA,LIMA,ATE,150103,Extorsión,7
2018,2,LIMA METROPOLITANA,LIMA,ATE,150103,Hurto,261
2018,2,LIMA METROPOLITANA,LIMA,ATE,150103,Otros,330
2018,2,LIMA METROPOLITANA,LIMA,ATE,150103,Robo,163
2018,2,LIMA METROPOLITANA,LIMA,ATE,150103,Secuestro,2
2018,2,LIMA METROPOLITANA,LIMA,ATE,150103,Violencia contra la mujer e integrantes,496
2018,2,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Estafa,2
2018,2,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Hurto,88
2018,2,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Otros,130
2018,2,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Robo,30
2018,2,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Violencia contra la mujer e integrantes,34
2018,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Estafa,4
2018,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Hurto,135
2018,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Otros,111
2018,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Robo,43
2018,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Violencia contra la mujer e integrantes,85
2018,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Estafa,3
2018,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Extorsión,2
2018,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Hurto,124
2018,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Otros,167
2018,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Robo,112
2018,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Violencia contra la mujer e integrantes,235
2018,2,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Estafa,2
2018,2,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Hurto,14
2018,2,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Otros,20
2018,2,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Robo,8
2018,2,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Violencia contra la mujer e integrantes,39
2018,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Estafa,4
2018,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Hurto,182
2018,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Otros,232
2018,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Robo,176
2018,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Secuestro,2
2018,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Violencia contra la mujer e integrantes,212
2018,2,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Estafa,1
2018,2,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Hurto,8
2018,2,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Otros,29
2018,2,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Robo,8
2018,2,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Violencia contra la mujer e integrantes,31
2018,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Estafa,8
2018,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Extorsión,3
2018,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Hurto,296
2018,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Otros,415
2018,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Robo,241
2018,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Secuestro,3
2018,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Violencia contra la mujer e integrantes,433
2018,2,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Estafa,2
2018,2,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Extorsión,1
2018,2,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Hurto,161
2018,2,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Otros,176
2018,2,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Robo,137
2018,2,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Violencia contra la mujer e integrantes,197
2018,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Estafa,7
2018,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Extorsión,2
2018,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Hurto,259
2018,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Otros,227
2018,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Robo,141
2018,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Secuestro,3
2018,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Violencia contra la mujer e integrantes,224
2018,2,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Estafa,10
2018,2,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Extorsión,2
2018,2,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Hurto,238
