ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad,UBIGEO,DISTRITO,POBLACION_TOTAL,FUENTE_POBLACION,PORC_NBI,FUENTE_NBI
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Hurto,60,150118,Lurigancho,308451,"INEI, Censos Nacionales 2025",22.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Otros,107,150118,Lurigancho,308451,"INEI, Censos Nacionales 2025",22.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Robo,34,150118,Lurigancho,308451,"INEI, Censos Nacionales 2025",22.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Violencia contra la mujer e integrantes,173,150118,Lurigancho,308451,"INEI, Censos Nacionales 2025",22.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Estafa,1,150119,Lurin,132149,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Hurto,51,150119,Lurin,132149,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Otros,66,150119,Lurin,132149,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Robo,48,150119,Lurin,132149,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Violencia contra la mujer e integrantes,75,150119,Lurin,132149,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Estafa,10,150120,Magdalena del Mar,82146,"INEI, Censos Nacionales 2025",3.5,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Hurto,55,150120,Magdalena del Mar,82146,"INEI, Censos Nacionales 2025",3.5,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Otros,62,150120,Magdalena del Mar,82146,"INEI, Censos Nacionales 2025",3.5,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Robo,25,150120,Magdalena del Mar,82146,"INEI, Censos Nacionales 2025",3.5,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Violencia contra la mujer e integrantes,40,150120,Magdalena del Mar,82146,"INEI, Censos Nacionales 2025",3.5,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Estafa,16,150122,Miraflores,126049,"INEI, Censos Nacionales 2025",1.2,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Extorsión,1,150122,Miraflores,126049,"INEI, Censos Nacionales 2025",1.2,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Hurto,120,150122,Miraflores,126049,"INEI, Censos Nacionales 2025",1.2,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Otros,74,150122,Miraflores,126049,"INEI, Censos Nacionales 2025",1.2,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Robo,23,150122,Miraflores,126049,"INEI, Censos Nacionales 2025",1.2,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Violencia contra la mujer e integrantes,75,150122,Miraflores,126049,"INEI, Censos Nacionales 2025",1.2,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Estafa,5,150123,Pachacamac,141104,"INEI, Censos Nacionales 2025",25.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Extorsión,2,150123,Pachacamac,141104,"INEI, Censos Nacionales 2025",25.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Hurto,33,150123,Pachacamac,141104,"INEI, Censos Nacionales 2025",25.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Otros,80,150123,Pachacamac,141104,"INEI, Censos Nacionales 2025",25.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Robo,40,150123,Pachacamac,141104,"INEI, Censos Nacionales 2025",25.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Violencia contra la mujer e integrantes,96,150123,Pachacamac,141104,"INEI, Censos Nacionales 2025",25.8,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Extorsión,1,150124,Pucusana,19758,"INEI, Censos Nacionales 2025",34.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Hurto,9,150124,Pucusana,19758,"INEI, Censos Nacionales 2025",34.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Otros,17,150124,Pucusana,19758,"INEI, Censos Nacionales 2025",34.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Robo,1,150124,Pucusana,19758,"INEI, Censos Nacionales 2025",34.0,"INEI, Censos Nacionales 2017"
