UBIGEO,ANIO,DISTRITO,POBLACION_TOTAL,PORC_NBI,TOTAL_DELITOS,TASA_DELITOS_10K,Estafa,Extorsión,Hurto,Otros,Robo,Secuestro,Violencia contra la mujer e integrantes
150122,2018,Miraflores,126049,1.2,4104,325.59,163,12,1275,1270,583,4,797
150122,2019,Miraflores,126049,1.2,4447,352.8,232,11,1396,1429,597,6,776
150122,2020,Miraflores,126049,1.2,2935,232.85,152,17,814,958,311,5,678
150122,2021,Miraflores,126049,1.2,4197,332.97,302,14,1503,1279,492,3,604
150122,2022,Miraflores,126049,1.2,6422,509.48,451,141,2522,1971,804,14,519
150122,2023,Miraflores,126049,1.2,12646,1003.26,629,143,5653,3628,1829,9,755
150122,2024,Miraflores,126049,1.2,12863,1020.48,689,51,6242,3966,1290,10,615
150122,2025,Miraflores,126049,1.2,9448,749.55,658,80,3868,3599,573,8,662
150122,2026,Miraflores,126049,1.2,3793,300.91,213,27,1480,1424,288,4,357
150123,2018,Pachacamac,141104,25.8,3021,214.1,29,7,496,774,381,2,1332
150123,2019,Pachacamac,141104,25.8,2907,206.02,25,10,558,655,311,4,1344
150123,2020,Pachacamac,141104,25.8,1863,132.03,24,7,273,578,125,6,850
150123,2021,Pachacamac,141104,25.8,2107,149.32,42,11,300,680,177,1,896
150123,2022,Pachacamac,141104,25.8,2542,180.15,103,47,434,807,183,1,967
150123,2023,Pachacamac,141104,25.8,3514,249.04,119,133,572,1040,407,8,1235
150123,2024,Pachacamac,141104,25.8,3821,270.79,174,150,489,1286,390,3,1329
150123,2025,Pachacamac,141104,25.8,3265,231.39,156,221,354,1252,216,8,1058
150123,2026,Pachacamac,141104,25.8,1816,128.7,78,73,212,658,137,4,654
150124,2018,Pucusana,19758,34.0,386,195.36,5,3,58,226,20,0,74
150124,2019,Pucusana,19758,34.0,530,268.25,5,3,92,230,34,1,165
150124,2020,Pucusana,19758,34.0,380,192.33,7,0,48,137,14,0,174
150124,2021,Pucusana,19758,34.0,384,194.35,9,2,54,150,18,0,151
150124,2022,Pucusana,19758,34.0,387,195.87,11,7,64,114,20,2,169
150124,2023,Pucusana,19758,34.0,564,285.45,17,16,117,196,29,1,188
150124,2024,Pucusana,19758,34.0,765,387.18,22,17,158,315,27,2,224
150124,2025,Pucusana,19758,34.0,655,331.51,23,13,96,265,31,0,227
150124,2026,Pucusana,19758,34.0,340,172.08,11,17,48,107,9,0,148
150125,2018,Puente Piedra,398975,23.3,8537,213.97,60,14,1128,3726,922,2,2685
150125,2019,Puente Piedra,398975,23.3,8102,203.07,93,24,1485,2222,903,6,3369
150125,2020,Puente Piedra,398975,23.3,5840,146.38,94,21,820,1723,406,9,2767
150125,2021,Puente Piedra,398975,23.3,6754,169.28,187,33,1142,2246,642,8,2496
150125,2022,Puente Piedra,398975,23.3,7524,188.58,251,169,1277,2542,784,10,2491
150125,2023,Puente Piedra,398975,23.3,10047,251.82,345,296,2149,2437,2025,10,2785
150125,2024,Puente Piedra,398975,23.3,10072,252.45,485,269,1931,2983,1282,14,3108
150125,2025,Puente Piedra,398975,23.3,8797,220.49,474,628,1461,2705,585,19,2925
150125,2026,Puente Piedra,398975,23.3,4323,108.35,200,209,637,1466,233,3,1575
150126,2018,Punta Hermosa,16482,37.8,470,285.16,6,2,133,181,28,1,119
150126,2019,Punta Hermosa,16482,37.8,503,305.18,3,1,108,219,28,1,143
150126,2020,Punta Hermosa,16482,37.8,371,225.09,9,4,53,168,14,0,123
150126,2021,Punta Hermosa,16482,37.8,342,207.5,15,2,40,170,15,1,99
150126,2022,Punta Hermosa,16482,37.8,497,301.54,16,21,79,252,14,1,114
150126,2023,Punta Hermosa,16482,37.8,697,422.89,155,28,106,191,45,1,171
150126,2024,Punta Hermosa,16482,37.8,698,423.49,122,10,110,232,53,0,171
150126,2025,Punta Hermosa,16482,37.8,421,255.43,25,10,73,176,17,0,120
150126,2026,Punta Hermosa,16482,37.8,301,182.62,38,1,70,116,7,1,68
150127,2018,Punta Negra,11241,14.9,306,272.22,2,0,86,112,49,1,56
150127,2019,Punta Negra,11241,14.9,263,233.96,3,1,55,74,41,0,89
150127,2020,Punta Negra,11241,14.9,217,193.04,4,3,32,86,6,0,86
150127,2021,Punta Negra,11241,14.9,204,181.48,3,2,27,88,7,0,77
150127,2022,Punta Negra,11241,14.9,196,174.36,6,1,32,86,12,0,59
150127,2023,Punta Negra,11241,14.9,306,272.22,20,11,61,95,15,2,102
150127,2024,Punta Negra,11241,14.9,337,299.8,19,8,59,136,27,2,86
150127,2025,Punta Negra,11241,14.9,217,193.04,18,9,33,82,16,1,58
150127,2026,Punta Negra,11241,14.9,139,123.65,8,5,29,68,1,0,28
150128,2018,Rímac,197361,15.0,5849,296.36,62,10,1130,1949,613,9,2076
150128,2019,Rímac,197361,15.0,6986,353.97,102,17,1278,2427,891,4,2267
150128,2020,Rímac,197361,15.0,4057,205.56,77,9,727,1468,448,5,1323
150128,2021,Rímac,197361,15.0,4623,234.24,143,36,913,1736,569,7,1219
150128,2022,Rímac,197361,15.0,7905,400.54,197,207,1519,3186,1077,10,1709
150128,2023,Rímac,197361,15.0,10615,537.85,243,220,2362,4219,1850,9,1712
150128,2024,Rímac,197361,15.0,9959,504.61,279,152,1846,4656,1196,3,1827
150128,2025,Rímac,197361,15.0,8895,450.7,337,193,1580,4266,760,4,1755
150128,2026,Rímac,197361,15.0,5362,271.68,165,258,1119,2119,527,4,1170
150129,2018,San Bartolo,7408,14.4,310,418.47,2,0,43,123,12,1,129
150129,2019,San Bartolo,7408,14.4,306,413.07,6,1,38,131,15,1,114
150129,2020,San Bartolo,7408,14.4,238,321.27,7,1,24,83,11,0,112
150129,2021,San Bartolo,7408,14.4,255,344.22,10,0,13,101,23,0,108
150129,2022,San Bartolo,7408,14.4,426,575.05,18,14,38,154,67,0,135
150129,2023,San Bartolo,7408,14.4,490,661.45,27,17,68,206,34,0,138
150129,2024,San Bartolo,7408,14.4,467,630.4,19,9,75,208,21,0,135
150129,2025,San Bartolo,7408,14.4,422,569.65,25,10,64,224,11,0,88
150129,2026,San Bartolo,7408,14.4,346,467.06,21,15,53,174,7,0,76
150130,2018,San Borja,126125,2.1,2815,223.19,117,7,1121,573,404,3,590
150130,2019,San Borja,126125,2.1,2503,198.45,89,5,843,623,228,24,691
150130,2020,San Borja,126125,2.1,2052,162.7,126,7,458,549,122,6,784
150130,2021,San Borja,126125,2.1,2945,233.5,243,7,675,893,261,14,852
150130,2022,San Borja,126125,2.1,3617,286.78,308,109,981,1187,333,27,672
150130,2023,San Borja,126125,2.1,4818,382.0,321,112,1584,1455,613,5,728
150130,2024,San Borja,126125,2.1,4710,373.44,373,51,1562,1620,436,4,664
150130,2025,San Borja,126125,2.1,4863,385.57,375,83,1619,1870,210,11,695
150130,2026,San Borja,126125,2.1,2777,220.18,253,61,827,1009,137,7,483
150131,2018,San Isidro,73401,1.1,4019,547.54,140,3,1235,1334,497,3,807
150131,2019,San Isidro,73401,1.1,3651,497.4,165,8,1031,1383,446,13,605
150131,2020,San Isidro,73401,1.1,2007,273.43,153,4,589,739,184,8,330
150131,2021,San Isidro,73401,1.1,2326,316.89,219,9,706,837,237,14,304
150131,2022,San Isidro,73401,1.1,2351,320.3,179,45,637,979,181,14,316
150131,2023,San Isidro,73401,1.1,4507,614.02,319,73,1733,1515,519,7,341
150131,2024,San Isidro,73401,1.1,5296,721.52,364,54,2423,1713,310,8,424
150131,2025,San Isidro,73401,1.1,4127,562.25,404,64,1705,1495,147,3,309
150131,2026,San Isidro,73401,1.1,2413,328.74,256,26,860,938,120,4,209
150132,2018,San Juan de Lurigancho,1176583,19.4,28974,246.26,238,67,6539,8296,4684,38,9112
